Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
,PSF 2: Optimizing problem resolution and trend analysis,,,,,,,,,
48,Information & Technology,Formal RCA Methodologies & Tools,"Which formal RCA methodologies such as the 5 Whys or data-driven brainstorming are utilized alongside diagnostic tools to identify the source of failures?",RCA is educated guessing. No formal method is used.,RCA is performed via brainstorming sessions. Findings are based on memory and process of elimination rather than hard data.,"Systematic methods (e.g. 5 Whys, Ishikawa/Fishbone) are applied. Diagnostic data is gathered while incidents are occurring for later analysis.",RCA is driven by deep log analysis and technical experts. Findings are validated by re-creating the issue in a controlled environment.,The system implements automated correlation and impact prediction tools. AI provides a Root Cause Dossier by correlating cross-stack logs instantly upon problem creation.,4,
49,Information & Technology,Auto-Remediation & Stability Validation,"What capabilities exist for deploying auto-remediation scripts, and how is infrastructure monitoring used to validate the stability of a service post-resolution?",All fixes are manual and ad-hoc. No testing is performed.,"Some manual scripts are used to fix issues, but they aren't stored centrally or maintained.",Fixes are formally tested and submitted via Change Management. Infrastructure is monitored after resolution to ensure stability.,A library of approved fixes exists. Successful resolutions are measured against quality criteria (fix durability/recurrence rates).,"Auto-remediation scripts are triggered automatically by known patterns. The system monitors for regressions and auto-reverts if a fix introduces new issues.",4,
50,Partners & Suppliers,Supplier Collaboration for Problems,"What formalized protocols are in place to ensure seamless collaboration with third-party suppliers when resolving complex, cross-platform problems?",Vendors are only contacted if a component is broken. No shared problem-solving occurs.,"Vendors are engaged for complex issues, but there is no formal process or defined contact list.",Vendor collaboration processes for diagnostics are defined. Escalation paths for complex investigations are documented in contracts.,Vendors are part of Problem Review meetings. Performance is tracked regarding the Time to Provide Root Cause.,Real-time diagnostic data sharing with external suppliers. The organization and vendor operate in a Shared Problem Backlog for critical technology stacks.,4,
,PSF 3: Ensuring the organization understands and accepts the risk of Known Errors,,,,,,,,,
51,Value Streams & Processes,KEDB Maintenance & Workarounds,"How is the Known Error Database (KEDB) maintained, and what is the specific workflow for communicating workarounds to the Service Desk and triggering RFCs for permanent fixes?",Known errors are not recorded. Workarounds are passed by word-of-mouth.,A list of known errors exists in a folder. The Service Desk might be told about a workaround if they ask.,A formal KEDB is maintained. Workarounds are proactively communicated to the Service Desk and documented as knowledge articles. RFCs are raised for all permanent fixes.,Every Problem record must have a validated workaround or an approved plan if no fix is found. Workaround effectiveness is tracked via Incident Re-open rates.,The KEDB is fully integrated with Incident Management (auto-suggest). Lessons learned from major problems are automatically fed into the Continual Improvement program.,4,
52,Partners & Suppliers,Supplier Problem Governance,"What KPIs and governance structures, including post-mortems and executive reporting, are used to drive the continual improvement of the Problem Management practice?",No Problem Management metrics. Success is no major outages today.,Basic metrics (number of open problems) are reported occasionally.,KPIs and SLAs for PM are defined and tracked. Post-mortems are conducted for all major problems and results are reported to management.,Client satisfaction (CSAT) with problem resolution is tracked. Metrics focus on Reduction in Recurring Incidents and Fix Quality.,Problem data is shared with Service Level Management to influence business strategy. Predictive analytics are used to recommend process improvements dynamically.,4,
,CHANGE MANAGEMENT,,,,,,,,,
,PSF 1: Ensuring that changes are realized in a timely and effective manner,,,,,,,,,
53,Organizations & People,Change Management Roles & CAB,"How clearly defined are the roles of the Change Owner and Manager, and how do the CAB and ECAB structures ensure that Subject Matter Experts (SMEs) are appropriately involved in the approval process?","No designated Change Manager. Roles are ad-hoc, and it's unclear who has the authority to approve a change.","Roles are assigned, but the Change Manager acts mostly as a coordinator without the authority to enforce policy.",Change Manager and CAB/ECAB are formally established. Roles for SMEs and Business Representatives (BRM/SDM) are documented and followed.,Change Authorities are delegated based on risk levels. The effectiveness of the CAB is measured by Lead Time and Approval Accuracy.,The Change Authority is dynamic. AI suggests the best Virtual CAB for specific technical changes based on historical success and expertise.,4,
54,Information & Technology,Standard Change Automation,"To what extent are standard changes automated within the service lifecycle, and how does our ITSM tooling facilitate the efficient creation and assignment of Request for Change (RFC) forms?",RFCs are handled via email or paper. No tool supports categorization or workflow.,A basic tool is used to log RFCs. It provides a simple repository but does not enforce a specific workflow for different change types.,"A centralized ITSM tool is used by all IT areas. It supports specific workflows for Normal, Standard, and Emergency changes.",Low-risk standard changes are 100% automated. The tool provides a Projected Service Outage (PSO) view for all stakeholders.,AI-driven failure prediction and proactive risk mitigation are built into the tool. Predictive analytics forecast change timelines and success rates.,5,
55,Value Streams & Processes,Change Categorization SOPs,"Are there formalized Standard Operating Procedures (SOPs) that govern the categorization of changes specifically distinguishing between Normal, Standard, and Emergency types?",No standard process. Every change is handled differently. Emergency is used for everything to bypass the queue.,"A basic process exists. RFCs have some standard info, but filtering of incomplete requests is inconsistent.","A formal SOP defines the full lifecycle. Standard changes are strictly defined as repeatable/low-risk, and Emergency changes are limited to critical incidents.","Process performance is tracked. RFC forms include business priority and desired implementation dates, which drive the Change Schedule.","The Change SOP is a living document, updated automatically via feedback loops. Processes auto-optimize based on historical resolution and implementation data.",5,
,PSF 2: Minimizing the negative impacts of changes,,,,,,,,,
56,Organizations & People,Change Communication & Peer Review,"What communication plans are in place to ensure stakeholders and end-users are aware of potential disruptions, and how is a peer review culture promoted to mitigate risk?","IT changes happen in a vacuum. Users are surprised by outages, and there is no formal communication plan for stakeholders.","Communication is ad-hoc (e.g. a global email sent 10 minutes before a change). Some technical staff perform informal peer reviews.",Stakeholder engagement and communication plans are mandatory for all Normal changes. The organization is fully aware of the disruptive potential of changes.,AI-driven sentiment analysis measures change adoption and satisfaction. Feedback is gathered from customers to ensure changes support business needs.,"Real-time status tracking provides 100% transparency. Business stakeholders are active participants in joint training and risk mitigation sessions.",5,
57,Information & Technology,Collision Detection & Unauthorized Change,How effectively do we utilize CMDB integration and collision detection tools to predict failures and identify unauthorized changes that may have bypassed the formal process?,Impact analysis is based on the memory of the technician. No technical detection for unauthorized changes exists.,"The tool provides basic risk fields (High/Med/Low), but impact analysis is manual. Unauthorized changes are only found if they cause an outage.",Impact analysis is integrated with the CMDB to determine dependencies. Technical solutions are in place to detect and flag unauthorized changes.,Automated compliance validation is in place. The toolset uses historical data to predict failure probability and automatically detects Collisions (overlapping changes).,AI/ML failure prediction and proactive risk mitigation are standard. The system automatically blocks high-risk changes that lack a validated rollback plan.,5,
58,Partners & Suppliers,Joint Supplier Impact Assessment,"What protocols exist for conducting joint impact assessments with external suppliers, and how is the coordination of execution managed for supplier-led changes?","Vendor changes (e.g. SaaS updates) happen without the organization's knowledge. No vendor SLAs for changes exist.",Vendors notify the team of changes but the internal team doesn't assess the risk to integrated internal systems.,Risk evaluation of supplier-led changes and third-party integrations is mandatory. Defined SLAs with suppliers for external service changes are in place.,Joint change impact assessments are conducted with external vendors. Real-time coordination occurs for all third-party change executions.,Contractual governance frameworks ensure suppliers are 100% aligned with internal change policies. Integrated AI monitors the entire supplier ecosystem for change risks.,5,
59,Value Streams & Processes,Impact Assessment & Rollback Planning,"What formal methodologies are used to assess Business, Technical, and SLA impacts, and is a robust back-out (rollback) plan mandated for every change?",No formal risk assessment. Back-out plans are rarely created and almost never tested. PIRs are only done for disasters.,"Basic risk ratings (H/M/L) are assigned. A Back-out section exists on the form but is often filled with reboot server or restore from backup without detail.","Detailed Business, Technical, and SLA impact assessments are mandatory. Back-out plans are created and tested for every change.",All changes are subject to a Post-Implementation Review (PIR). Unauthorized changes are reviewed by the CAB for root cause analysis.,Automated rollback and contingency planning for high-risk changes. Lessons learned from all changes (successful and failed) auto-feed into process improvements.,4,
,PSF 3: Ensuring changes meet governance and compliance requirements,,,,,,,,,
60,Organizations & People,Change Governance Accountability,"How does management demonstrate accountability for governance, and what measures ensure that all staff remain aware of change policies and their specific role assignments?",No designated owner for governance. Staff are unaware of their roles in the change process and policies are not documented.,"A process owner is named, but they lack the authority to enforce policies. Responsibilities are assigned but often conflict with other duties.","A designated Change Process Owner is responsible for governance. Roles and responsibilities are formally documented, assigned, and clearly communicated across IT.","Change management policies are actively enforced. The organization tracks Role Competency and ensures that those performing changes are certified/trained on the SOP.",Governance is integrated into the corporate culture. AI-driven feedback loops ensure that roles are dynamically adjusted to maintain the highest compliance standards.,3,
61,Information & Technology,Immutable Audit Trails & Compliance,Are we leveraging immutable audit trails and automated compliance validation to ensure technical safeguards are met and that audit reporting is seamless?,No audit trail exists. Compliance is checked manually (and rarely). There is no technical way to detect if a change happened without an RFC.,"The tool logs basic changes, but logs can be altered by admins. Compliance reports are manual snapshot exports in Excel.",The tool provides a systematic audit trail. Automated compliance validation is in place for regulated changes. Technical solutions scan for unauthorized changes.,"The toolset provides an Immutable Audit Trail (tamper-proof). Automated audit reporting is generated in real-time, highlighting policy deviations immediately.",AI-driven compliance risk assessments and proactive issue resolution are standard. The system automatically blocks any deployment that fails the automated compliance check.,3,
62,Partners & Suppliers,Third-Party Governance & Contracts,How are supplier compliance assessments integrated into our governance framework to ensure their activities align perfectly with our internal change policies?,"No oversight of vendor-managed changes. It is assumed the supplier follows the rules, but no evidence is ever requested.","Vendors provide their own change reports, but these are not audited against the organization's internal standards.",Contractual governance frameworks ensure suppliers are aligned with internal change policies. Third-party compliance assessments are conducted regularly.,Real-time tracking of vendor-managed changes is integrated into the internal dashboard. Suppliers are audited against specific regulatory and security KPIs.,The organization and its suppliers operate in a unified governance framework. Automated cross-entity compliance validation ensures 100% policy adherence.,3,
63,Value Streams & Processes,Policy Enforcement & Continuity,How are change policies integrated with Service Continuity and contingency plans to ensure that regulatory and security requirements are monitored and enforced throughout the process?,"Policies are suggestions and frequently bypassed. There is no link between Change and Service Continuity/Recovery plans.",A Change Policy exists but is not strictly enforced. Information is occasionally shared with Problem Management but not on a structured basis.,"A formalized Change Policy and SOP are actively enforced. Change Management routinely collaborates with Configuration, Problem, and Service Continuity teams.","A formalized Change Policy and SOP are actively enforced. Change Management routinely collaborates with Configuration, Problem, and Service Continuity teams.","The process is compliant by design. Continuous tracking of policy adherence and regulatory requirements is automated, with the value stream auto-adjusting to new laws.",3,
